City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Grindavik,IS,63.8424,-22.4338,49.95,81,75,5.75,broken clouds
1,Tonantins,BR,-2.8731,-67.8022,92.03,44,89,3.31,overcast clouds
2,Nauchnyy Gorodok,RU,53.4203,83.521,43.66,52,0,8.95,clear sky
3,East London,ZA,-33.0153,27.9116,63.54,94,40,9.22,scattered clouds
4,Kumylzhenskaya,RU,49.8809,42.5898,66.97,97,100,6.4,moderate rain
5,Cahors,FR,44.4167,1.3333,62.96,48,100,8.72,overcast clouds
6,Coihaique,CL,-45.5752,-72.0662,44.55,45,40,8.05,scattered clouds
7,Bredasdorp,ZA,-34.5322,20.0403,56.77,91,53,10.36,broken clouds
8,Ancud,CL,-41.8697,-73.8203,47.23,51,100,9.44,overcast clouds
9,Ribeira Grande,PT,38.5167,-28.7,77.4,78,20,13.8,few clouds
10,Upernavik,GL,72.7868,-56.1549,38.16,88,20,12.12,few clouds
11,Bonthe,SL,7.5264,-12.505,78.08,85,100,9.15,overcast clouds
12,Vieira De Leiria,PT,39.8695,-8.9324,70.84,86,20,8.05,few clouds
13,Pangnirtung,CA,66.1451,-65.7125,44.6,81,75,10.36,broken clouds
14,Ushuaia,AR,-54.8,-68.3,42.46,49,75,10.36,broken clouds
15,General Pico,AR,-35.6566,-63.7568,79.48,19,100,24.9,overcast clouds
16,Narsaq,GL,60.9167,-46.05,53.73,79,100,7.76,light rain
17,Krasnoselkup,RU,65.7,82.4667,41.05,71,100,9.04,overcast clouds
18,Goderich,CA,43.7501,-81.7165,73.9,73,100,4.61,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,44.71,49,40,24.16,scattered clouds
20,Caravelas,BR,-17.7125,-39.2481,79.38,61,28,8.88,scattered clouds
21,Jamestown,US,42.097,-79.2353,80.02,46,81,4.0,broken clouds
22,Mitu,CO,1.1983,-70.1733,79.68,86,99,3.13,overcast clouds
23,Georgetown,MY,5.4112,100.3354,78.89,92,20,2.3,few clouds
