City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2022-09-13 18:00:12,-33.5906,26.891,57.18,90,1,2.19
1,Okulovka,RU,2022-09-13 18:00:13,58.4008,33.2908,47.08,79,20,4.65
2,Arraial Do Cabo,BR,2022-09-13 18:00:14,-22.9661,-42.0278,71.29,87,34,11.65
3,Souillac,MU,2022-09-13 18:00:14,-20.5167,57.5167,69.82,78,34,9.1
4,Cape Town,ZA,2022-09-13 17:58:02,-33.9258,18.4232,61.21,83,0,13.8
5,Vila Velha,BR,2022-09-13 18:00:02,-20.3297,-40.2925,78.94,67,3,15.01
6,Hun,LY,2022-09-13 18:00:15,29.1268,15.9477,89.28,29,0,10.04
7,Dikson,RU,2022-09-13 18:00:17,73.5069,80.5464,38.53,74,100,17.49
8,Hermanus,ZA,2022-09-13 18:00:17,-34.4187,19.2345,58.8,78,0,10.16
9,Cedar Lake,US,2022-09-13 18:00:03,41.3648,-87.4411,75.85,77,65,7.47
10,Ushuaia,AR,2022-09-13 17:56:48,-54.8,-68.3,44.22,91,89,12.55
11,Middle Island,US,2022-09-13 18:00:18,40.8843,-72.9373,85.41,79,31,1.01
12,Riyadh,SA,2022-09-13 17:56:43,24.6877,46.7219,96.94,9,7,5.03
13,Adrar,MR,2022-09-13 18:00:19,20.5022,-10.0711,103.87,15,59,2.86
14,Ambilobe,MG,2022-09-13 18:00:20,-13.2,49.05,72.79,74,65,3.6
15,Georgetown,MY,2022-09-13 17:57:00,5.4112,100.3354,80.89,88,20,3.44
16,Kalmunai,LK,2022-09-13 18:00:20,7.4167,81.8167,80.37,76,100,9.71
17,Busselton,AU,2022-09-13 18:00:21,-33.65,115.3333,54.09,67,92,17.4
18,Kerouane,GN,2022-09-13 18:00:21,9.2667,-9.0167,72.01,91,94,3.6
19,Itaituba,BR,2022-09-13 18:00:22,-4.2761,-55.9836,100.47,26,20,4.18
20,Pisco,PE,2022-09-13 17:58:45,-13.7,-76.2167,68.05,64,50,11.5
21,Doha,QA,2022-09-13 17:59:43,25.2867,51.5333,93.09,70,0,6.91
22,Mbanza-Ngungu,CD,2022-09-13 18:00:23,-5.25,14.8667,79.59,50,80,8.9
23,Mahebourg,MU,2022-09-13 18:00:24,-20.4081,57.7,71.26,75,39,9.1
24,Tasiilaq,GL,2022-09-13 18:00:24,65.6145,-37.6368,39.36,81,64,0.16
25,Clyde River,CA,2022-09-13 17:56:00,70.4692,-68.5914,39.43,100,100,10.36
26,Worcester,US,2022-09-13 17:58:37,42.3334,-71.8328,74.95,89,100,10.36
27,Punta Alta,AR,2022-09-13 18:00:26,-38.8759,-62.0736,56.43,60,19,8.03
28,Cibitoke,BI,2022-09-13 18:00:27,-2.8833,29.25,68.54,67,88,2.89
29,Richards Bay,ZA,2022-09-13 18:00:27,-28.783,32.0377,63.79,86,99,4.16
30,Timmins,CA,2022-09-13 18:00:28,48.4669,-81.3331,70.66,60,100,3.4
31,Mar Del Plata,AR,2022-09-13 18:00:29,-38.0023,-57.5575,54.95,78,5,10.0
32,Bridlington,GB,2022-09-13 18:00:30,54.0831,-0.1919,61.9,75,85,5.88
33,Victoria,HK,2022-09-13 17:55:45,22.2855,114.1577,89.19,67,10,5.99
34,Bambous Virieux,MU,2022-09-13 18:00:30,-20.3428,57.7575,71.22,75,36,8.77
35,Jamestown,US,2022-09-13 17:57:05,42.097,-79.2353,65.71,71,100,11.5
36,Narsaq,GL,2022-09-13 18:00:34,60.9167,-46.05,50.22,68,10,4.83
37,Cabedelo,BR,2022-09-13 18:00:34,-6.9811,-34.8339,79.18,75,80,14.67
38,Qaanaaq,GL,2022-09-13 18:00:35,77.484,-69.3632,36.59,80,100,5.93
39,Pachora,IN,2022-09-13 18:00:35,20.6667,75.35,75.74,92,100,4.79
40,Kruisfontein,ZA,2022-09-13 18:00:36,-34.0033,24.7314,57.88,88,1,2.44
41,East London,ZA,2022-09-13 18:00:36,-33.0153,27.9116,62.1,71,0,1.1
42,Dingle,PH,2022-09-13 18:00:36,10.9995,122.6711,75.87,90,64,4.9
43,Alsfeld,DE,2022-09-13 18:00:37,50.75,9.2667,72.19,67,99,3.0
44,Coihaique,CL,2022-09-13 18:01:02,-45.5752,-72.0662,44.92,97,100,5.77
45,Grindavik,IS,2022-09-13 18:01:38,63.8424,-22.4338,46.87,87,75,6.91
46,Qandala,SO,2022-09-13 18:01:38,11.472,49.8728,91.6,52,20,3.02
47,Punta Arenas,CL,2022-09-13 17:57:50,-53.15,-70.9167,44.71,65,100,9.22
48,Boyuibe,BO,2022-09-13 18:01:39,-20.4167,-63.2833,77.72,21,89,10.67
49,Tromso,NO,2022-09-13 18:01:39,69.6496,18.957,46.42,71,75,10.36
50,Barahona,DO,2022-09-13 18:01:40,18.2085,-71.1008,84.87,66,99,8.05
51,Aksarka,RU,2022-09-13 18:01:41,66.5606,67.7975,41.79,91,94,6.42
52,Mormugao,IN,2022-09-13 18:01:42,15.4,73.8,78.67,87,99,12.71
53,Canutama,BR,2022-09-13 18:01:42,-6.5339,-64.3831,99.72,30,96,3.89
54,Mehamn,NO,2022-09-13 18:01:43,71.0357,27.8492,41.54,75,80,9.26
55,Saldanha,ZA,2022-09-13 18:01:44,-33.0117,17.9442,58.26,82,2,12.82
56,Hamilton,US,2022-09-13 18:01:44,39.1834,-84.5333,74.19,61,4,5.01
57,Goma,CD,2022-09-13 18:01:44,-1.6792,29.2228,65.01,91,76,2.84
58,Isabela,PH,2022-09-13 18:01:45,6.7085,121.9711,78.17,84,84,2.77
59,Ostersund,SE,2022-09-13 18:01:45,63.1792,14.6357,52.61,100,75,8.05
60,Gamba,GA,2022-09-13 18:01:46,-2.65,10.0,75.49,74,63,5.03
61,Caconda,AO,2022-09-13 18:01:46,-13.7333,15.0667,75.96,34,95,11.43
62,Colquechaca,BO,2022-09-13 18:01:47,-18.6667,-66.0167,51.35,19,48,16.08
63,Saint George,US,2022-09-13 18:01:47,37.1041,-113.5841,65.62,84,100,9.22
64,Mangrol,IN,2022-09-13 18:01:47,21.1167,70.1167,79.38,86,100,7.31
65,Bengkulu,ID,2022-09-13 18:01:48,-3.8004,102.2655,73.99,89,100,6.93
66,Bela Palanka,RS,2022-09-13 18:01:48,43.2183,22.3111,64.99,61,31,2.37
67,Torbay,CA,2022-09-13 17:58:29,47.6666,-52.7314,62.28,95,100,17.27
68,Hit,IQ,2022-09-13 18:01:50,33.6416,42.8251,92.86,18,0,12.77
69,Vannes,FR,2022-09-13 18:01:50,47.8333,-2.5,77.61,58,68,8.03
70,Saint-Philippe,RE,2022-09-13 18:01:50,-21.3585,55.7679,67.59,73,45,6.26
71,Zapolyarnyy,RU,2022-09-13 18:01:51,69.4154,30.8136,49.28,86,94,7.96
72,Cordoba,AR,2022-09-13 18:01:51,-31.4135,-64.1811,75.99,13,19,1.01
73,Opuwo,NA,2022-09-13 18:01:51,-18.0607,13.84,77.79,14,3,3.4
